id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
22,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-68.3,-0.25,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
23,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-75.22,0.02,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
24,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-81.72,0.44,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
25,1,8,ra_wr_s_p,5,Wrist Pro/Sup,-87.72,1.19,0,0 0 0 90 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
26,2,8,ra_wr_s_p,5,Wrist Pro/Sup,76.83,3.91,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
27,2,8,ra_wr_s_p,5,Wrist Pro/Sup,70.24,5.46,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
28,2,8,ra_wr_s_p,5,Wrist Pro/Sup,63.24,6.73,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
29,2,8,ra_wr_s_p,5,Wrist Pro/Sup,56.36,7.69,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
30,2,8,ra_wr_s_p,5,Wrist Pro/Sup,49.46,8.21,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
31,2,8,ra_wr_s_p,5,Wrist Pro/Sup,42.53,8.55,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
32,2,8,ra_wr_s_p,5,Wrist Pro/Sup,35.61,8.68,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
33,2,8,ra_wr_s_p,5,Wrist Pro/Sup,28.68,8.55,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
34,2,8,ra_wr_s_p,5,Wrist Pro/Sup,21.75,8.12,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
35,2,8,ra_wr_s_p,5,Wrist Pro/Sup,14.83,7.61,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
36,2,8,ra_wr_s_p,5,Wrist Pro/Sup,7.9,6.92,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
37,2,8,ra_wr_s_p,5,Wrist Pro/Sup,0.97,5.87,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
38,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-5.95,4.99,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
39,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-12.88,4.07,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
40,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-19.81,3.18,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
41,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-26.73,2.27,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
42,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-33.66,1.44,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
43,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-40.59,0.82,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
44,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-47.52,0.33,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
45,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-54.44,-0.08,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
46,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-61.37,-0.29,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
47,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-68.3,-0.25,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
48,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-75.22,0.02,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
49,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-81.72,0.44,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
50,2,8,ra_wr_s_p,5,Wrist Pro/Sup,-87.72,1.19,0,0 0 0 45 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
51,3,8,ra_wr_s_p,5,Wrist Pro/Sup,76.83,5.53,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
52,3,8,ra_wr_s_p,5,Wrist Pro/Sup,70.24,5.61,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
53,3,8,ra_wr_s_p,5,Wrist Pro/Sup,63.24,6.1,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
54,3,8,ra_wr_s_p,5,Wrist Pro/Sup,56.36,6.7,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
55,3,8,ra_wr_s_p,5,Wrist Pro/Sup,49.46,7.29,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
56,3,8,ra_wr_s_p,5,Wrist Pro/Sup,42.53,7.76,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
57,3,8,ra_wr_s_p,5,Wrist Pro/Sup,35.61,8.07,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
58,3,8,ra_wr_s_p,5,Wrist Pro/Sup,28.68,8.14,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
59,3,8,ra_wr_s_p,5,Wrist Pro/Sup,21.75,8.02,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
60,3,8,ra_wr_s_p,5,Wrist Pro/Sup,14.83,7.61,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
61,3,8,ra_wr_s_p,5,Wrist Pro/Sup,7.9,6.95,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
62,3,8,ra_wr_s_p,5,Wrist Pro/Sup,0.97,6.23,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
63,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-5.95,5.38,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
64,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-12.88,4.44,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
65,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-19.81,3.41,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
66,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-26.73,2.46,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
67,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-33.66,1.62,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
68,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-40.59,0.95,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
69,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-47.52,0.3,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
70,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-54.44,-0.08,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
71,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-61.37,-0.26,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
72,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-68.3,-0.25,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
73,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-75.22,0.02,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
74,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-81.72,0.13,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
75,3,8,ra_wr_s_p,5,Wrist Pro/Sup,-87.72,0.01,0,0 0 0 0 NaN 0 0 25 20 0 0 89 89 20 89 89 20 89 89 20 89 89 20,Bremer A K et al. 2006. Moment arms of forearm rotators. Clinical Biomechanics.
