idMuscle,sMuscle,sMuscleFullName,idCluster1,idCluster2,idCluster3,idCluster4,idCluster5,nLengthMin,nLengthMax,nLpass,nLpassPercent,bCoupled,idDOFList,idDOFList_used,nPCSA,nSpecificTension,nFmax,nFpass,bFingerFlexion,bFingerExtension,bWristFlexion,bWristExtension,bWristSupination,bWristPronation,bThumbFlexion,bThumbExtension,bThumbAbduction,bThumbAdduction,nScaler,nStatic,nGainIa,nGainIb,sCouplingGroups,nBeta,sMuscleOld,
    37,FDP5,Flexor digitorum profundus (pinky finger),     5,     5,     5,     5,     4,0.32921,0.392516,0.386185,   0.9,     1,8     9    30    23    24    25,9    23    24    25,   2.5,    35,  87.5,  8.75,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Last 3 Finger Flex,1.02917,FDP5,
    38,FDP4,Flexor digitorum profundus (ring finger),     6,     5,     5,     5,     4,0.344765,0.409434,0.402967,   0.9,     1,8     9    30    20    21    22,9    20    21    22,   3.7,    35, 129.5, 12.95,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Last 3 Finger Flex,0.893825,FDP4,
    39,FDP3,Flexor digitorum profundus (middle finger),     7,     5,     5,     5,     4,0.356224,0.422659,0.416016,   0.9,     1,8     9    30    17    18    19,9    17    18    19,   4.1,    35, 143.5, 14.35,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Last 3 Finger Flex,0.975572,FDP3,
    40,FDP2,Flexor digitorum profundus (index finger),     8,     6,     5,     5,     4,0.347701,0.415989,0.40916,   0.9,     1,8     9    30    14    15    16,9    14    15    16,   4.1,    35, 143.5, 14.35,     1,     0,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Index Finger Flex,1.21227,FDP2,
    41,EDM,Extensor Digiti Minimi,     9,     7,     6,     6,     3,0.373124,0.422589,0.395394,0.450222,     1,29     8     9    30    23    24    25,9    23    24    25,   1.5,    35,  52.5,  5.25,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Last 3 Finger Ext,1.48902,ED_M,
    42,ED5,Extensor digitorum (pinky finger),     9,     7,     6,     6,     3,0.372148,0.424324,0.398653,0.507987,     1,8     9   30     23    24    25,9     23    24    25,   0.5,    35,  17.5,  1.75,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Last 3 Finger Ext,1.48902,ED5,
    43,ED4,Extensor Digitorum (ring finger),    10,     7,     6,     6,     3,0.386306,0.441575,0.414988,0.518947,     1,8     9    30    20    21    22,9    20    21    22,   1.2,    35,    42,   4.2,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Last 3 Finger Ext,2.90819,ED4,
    44,ED3,Extensor Digitorum (middle finger),    11,     7,     6,     6,     3,0.396909,0.458575,0.429361,0.526253,     1,8    9    30    17    18    19,9    17    18    19,   1.7,    35,  59.5,  5.95,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Last 3 Finger Ext,1.83294,ED3,
    45,ED2,Extensor Digitorum (index finger),    12,     8,     6,     6,     3,0.397135,0.458159,0.431726,0.566847,     1,8    9    30    14    15    16,9    14    15    16,   1.1,    35,  38.5,  3.85,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Index Finger Ext,1.37591,ED2,
    46,EIND,Extensor Indicis,    12,     8,     6,     6,     3,0.231973,0.292019,0.261134,0.485651,     1,8     9    30    14    15    16,9    14    15    16,   1.3,    35,  45.5,  4.55,     0,     1,     0,     0,     0,     0,     0,     0,     0,     0,     1,   0.5,     0,   1.2,Index Finger Ext,1.37591,EIND,
    47,EPL,Extensor Pollicis Longus,    13,     9,     7,     6,     3,0.243781,0.294074,0.2746,0.612799,     1,8     9    30    10    11    12    13,8     9    10    11    12    13,   1.9,    35,  66.5,  6.65,     0,     0,     0,     0,     0,     0,     0,     1,     0,     1,     1,   0.5,     0,   1.2,Thumb Add Ext,6.05686,EPL,
    48,EPB,Extensor Pollicis Brevis,    14,    10,     8,     7,     5,0.168093,0.199893,0.179422,0.356259,     0,9    30    10    11    12,9    10    11    12,   1.3,    35,  45.5,  4.55,     0,     0,     0,     0,     0,     0,     0,     1,     1,     0,     1,   0.5,     0,   1.2,Thumb Abd Ext,1.50929,EPB,
    49,FPB,Flexor Pollicis Brevis,    15,    11,     9,     5,     4,0.0796996,0.104172,0.101725,   0.9,     0,10    11    12,10    11    12,   1.3,    35,  45.5,  4.55,     0,     0,     0,     0,     0,     0,     1,     0,     1,     0,     1,   0.5,     0,   1.2,Thumb Abd Flex,0.8677,FPB,
    50,FPL,Flexor Pollicis Longus,    15,    11,     9,     5,     4,0.230745,0.289274,0.26485,0.582696,     1,9     30    10    11    12    13,9    10    11    12    13,   5.1,    35, 178.5, 17.85,     0,     0,     0,     0,     0,     0,     1,     0,     1,     0,     1,   0.5,     0,   1.2,Thumb Abd Flex,0.8677,FPL,
    51,APL,Abductor Pollicis Longus,    14,    10,     8,     7,     5,0.166005,0.198964,0.181983,0.48477,     0,8    9    30    10    11,8    9    10    11,   3.9,    35, 136.5, 13.65,     0,     0,     0,     0,     0,     0,     0,     1,     1,     0,     1,   0.5,     0,   1.2,Thumb Abd Ext,1.50929,APL,
    52,OP,Opponens Pollicis ,    15,    11,     9,     5,     4,0.0587825,0.0649329,0.0643179,   0.9,     0,10    11,10    11,   2.9,    35, 101.5, 10.15,     0,     0,     0,     0,     0,     0,     1,     0,     1,     0,     1,   0.5,     0,   1.2,Thumb Abd Flex,0.8677,OP,
    53,APB,Abductor Pollicis Brevis,    15,    11,     9,     5,     4,0.0592944,0.0766641,0.0749271,   0.9,     0,10    11    12,10    11    12,   1.5,    35,  52.5,  5.25,     0,     0,     0,     0,     0,     0,     1,     0,     1,     0,     1,   0.5,     0,   1.2,Thumb Abd Flex,0.8677,APB,
    54,ADPT,Adductor Pollicis Transversus,    16,    12,    10,     8,     6,0.0324831,0.0644488,0.0612522,   0.9,     0,10    11    12,10    11    12,   0.9,    35,  31.5,  3.15,     0,     0,     0,     0,     0,     0,     1,     0,     0,     1,     1,   0.5,     0,   1.2,Thumb Add Flex,5.18872,ADPT,
