id,nPosture,idDOF,sDOF,idDOF_MJC,sDescShort,nDOF,nMA,nSD,cModelPosition,sReference
21,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,25,3.4,6.6,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
22,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,20,3.2,6.7,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
23,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,15,3.1,5.6,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
24,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,10,3.2,4.1,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
25,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,5,3.2,3.7,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
26,1,10,ra_cmc1_ad_ab,9,D1 CMC Ab/Ad,0,3.5,3.6,0 0 0 90 0 0 0 25 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
27,1,12,ra_mcp1_f_e,10,D1 MCP,0,8.6,1.6,0 0 0 90 0 0 0 25 20 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
28,1,12,ra_mcp1_f_e,10,D1 MCP,-10,8.6,1,0 0 0 90 0 0 0 25 20 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
29,1,12,ra_mcp1_f_e,10,D1 MCP,-20,8.6,0.7,0 0 0 90 0 0 0 25 20 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
30,1,12,ra_mcp1_f_e,10,D1 MCP,-30,8.8,0.8,0 0 0 90 0 0 0 25 20 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
31,1,12,ra_mcp1_f_e,10,D1 MCP,-40,9.6,1.2,0 0 0 90 0 0 0 25 20 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
32,1,12,ra_mcp1_f_e,10,D1 MCP,-50,9.6,0.5,0 0 0 90 0 0 0 25 20 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
33,1,12,ra_mcp1_f_e,10,D1 MCP,-60,9.9,0.9,0 0 0 90 0 0 0 25 20 NaN 0 0 0 0 0 0 0 0 0 0 0 0 0,Paul Smutz et al. 1998. Mechanical advantage of the thumb muscles. Journal of Biomechanics.
